Date,Close,High,Low,Open,Volume,MA_short,MA_long,Signal,Position
2018-01-02,237.208251953125,237.2435622831173,235.99913575631692,236.387468584562,86655700,,,0,
2018-01-03,238.7086181640625,238.85866685789412,237.3759293522173,237.3759293522173,90070400,,,0,0.0
2018-01-04,239.7147521972656,240.20018171063953,238.7704230529277,239.35292230864192,80636400,,,0,0.0
2018-01-05,241.31216430664065,241.43571003090116,240.01478606554477,240.50902283035427,83524000,,,0,0.0
2018-01-08,241.75347900390625,241.91233506929856,240.92386141723043,241.21509753711632,57319200,,,0,0.0
2018-01-09,242.30062866210935,242.92724544128825,241.8946273154796,242.17705600864397,57254000,,,0,0.0
2018-01-10,241.9300079345703,242.1947950115586,240.87094042828855,241.54167510209987,69574300,,,0,0.0
2018-01-11,243.69517517089844,243.69517517089844,242.31836840199227,242.4860588230418,62361500,,,0,0.0
2018-01-12,245.2837677001953,245.45143115364405,243.6598158508397,243.95991323209685,90816100,,,0,0.0
2018-01-16,244.4452667236328,247.19887915543404,243.74802930215665,246.54578636770452,106555100,,,0,0.0
2018-01-17,246.7753143310547,247.1636471749191,244.44534420175947,245.3808659800079,113258800,,,0,0.0
2018-01-18,246.3604431152344,247.08412957660616,245.86617945627296,246.66051348875564,100728000,,,0,0.0
2018-01-19,247.4813690185547,247.4813690185547,246.3605152129224,246.9429875041781,140920100,,,0,0.0
2018-01-22,249.49362182617188,249.49362182617188,247.21657699770483,247.2695559570102,91322400,,,0,0.0
2018-01-23,250.0231475830078,250.31438369783496,249.21117170640608,249.5377181464472,97084700,,,0,0.0
2018-01-24,249.92608642578125,251.26760963561836,248.743446235034,250.6674417572695,134816100,,,0,0.0
2018-01-25,250.0320281982422,250.88812203169624,249.2377207185381,250.79105227628432,84587300,,,0,0.0
2018-01-26,252.9268035888672,252.97094823259775,250.6144753682726,250.8704281134656,107743100,,,0,0.0
2018-01-29,251.2498779296875,252.79437454936289,251.09102188436725,252.3530898008842,90118300,,,0,0.0
2018-01-30,248.67274475097656,251.3027841347939,248.1961497680107,249.41409976121307,131796400,,,0,0.0
2018-01-31,248.79638671875,250.03197888056297,247.71965063476537,249.52893463410672,108364800,,,0,0.0
2018-02-01,248.5139923095703,249.8202053091225,247.71968487674368,248.0639000268411,90102500,,,0,0.0
2018-02-02,243.1037750244141,247.32245607854944,243.06846470358377,247.1900491089066,173174800,,,0,0.0
2018-02-05,232.9365692138672,243.45680984544455,232.3893804155694,241.33864836363057,294681800,,,0,0.0
2018-02-06,237.5259246826172,238.0289957423449,228.32073161681015,229.4151091357553,355026800,,,0,0.0
2018-02-07,236.2374267578125,240.3766535791638,236.15797178860365,236.96994770614245,167376100,,,0,0.0
2018-02-08,227.3764190673828,236.67871054920792,227.34110874054193,236.53749617573212,246449500,,,0,0.0
2018-02-09,230.7919158935547,232.65412454286425,223.21946824170263,230.1741064923707,283565300,,,0,0.0
2018-02-12,234.18099975585935,235.65490274640032,230.93315029553423,232.84831112453497,143736000,,,0,0.0
2018-02-13,234.76345825195312,235.3106469655255,232.38934443296543,232.97184346370133,81223600,242.7840138753255,,0,0.0
2018-02-14,237.9319000244141,238.2937567389354,233.26309998978255,233.27193430331909,120735700,242.80813547770182,,0,0.0
2018-02-15,240.9679718017578,240.97680611641795,237.2082167650663,239.67942775403048,111200300,242.883447265625,,0,0.0
2018-02-16,241.03857421875,242.9890724570163,240.29721897546403,240.34136361647205,160420100,242.92757466634114,,0,0.0
2018-02-20,239.5293731689453,241.53282330759552,238.73506595181615,240.08539630110135,86369700,242.86814829508464,,0,0.0
2018-02-21,238.33790588378903,242.45951770059347,238.24083615761157,239.9706650043789,98883700,242.7542958577474,,0,0.0
2018-02-22,238.64678955078125,240.98559335995316,237.97605503981436,239.2645989798684,110511300,242.63250122070312,,0,0.0
2018-02-23,242.45069885253903,242.45069885253903,239.39701543220127,239.87361058044897,92766400,242.6498575846354,,0,0.0
2018-02-26,245.26609802246097,245.36319468866208,242.936128174177,243.52743475109247,86491400,242.7022216796875,,0,0.0
2018-02-27,242.2035217285156,246.1662767763648,242.1417354044071,245.45137076031725,99099200,242.59954681396485,,0,0.0
2018-02-28,239.75006103515625,243.7569351386025,239.43234886159456,243.30681595883283,121907800,242.4430399576823,,0,0.0
2018-03-01,236.26388549804688,241.0915421403742,234.7635064501868,239.53821107283775,176855100,242.09265899658203,,0,0.0
2018-03-02,237.48182678222656,238.04668427985953,233.72209843242288,234.58699944157743,139083200,241.7967051188151,,0,0.0
2018-03-05,240.2266540527344,240.84446362980503,236.1844696553322,236.2904006461169,97307400,241.55488128662108,,0,0.0
2018-03-06,240.83558654785156,241.2857056436137,239.33520751790135,241.2062506811617,79213200,241.2662801106771,,0,0.0
2018-03-07,240.7473297119141,241.1003521582467,238.4703120392654,238.6644784248313,87063500,240.95708618164062,,0,0.0
2018-03-08,241.9123077392578,242.03585346486528,240.4295974286648,241.42687834910672,66901200,240.68996022542316,,0,0.0
2018-03-09,246.1221618652344,246.1221618652344,243.0066924846827,243.3244315228372,113625300,240.55963134765625,,0,0.0
2018-03-12,245.8132781982422,247.0400628849931,245.424945414946,246.41344600308256,71924800,240.32251383463543,,0,0.0
2018-03-13,244.22467041015625,247.48135451715856,243.6156952074558,246.9782833612081,91968900,240.08834025065104,,0,0.0
2018-03-14,242.9713897705078,245.37198005774283,242.4153935706246,245.18664799111508,105895100,239.8982950846354,,0,0.0
